observed_at,energie,mois,indice,valeur,source,sha256
2026-09-15T04:53:26+00:00,electricite,2024-02,Endex 101,79.93,https://www.engie.be/fr/energie/electricite-gaz/prix-conditions/parametres-indexation/parametres-indexation-electricite/,1089a45e86c25e47
2026-09-15T04:53:26+00:00,electricite,2024-02,Epex DAM,61.51,https://www.engie.be/fr/energie/electricite-gaz/prix-conditions/parametres-indexation/parametres-indexation-electricite/,1089a45e86c25e47
2026-09-15T04:53:26+00:00,electricite,2024-01,Endex 303,115.71,https://www.engie.be/fr/energie/electricite-gaz/prix-conditions/parametres-indexation/parametres-indexation-electricite/,1089a45e86c25e47
2026-09-15T04:53:26+00:00,electricite,2024-01,Endex 103,94.30,https://www.engie.be/fr/energie/electricite-gaz/prix-conditions/parametres-indexation/parametres-indexation-electricite/,1089a45e86c25e47
2026-09-15T04:53:26+00:00,electricite,2024-01,Endex 101,93.13,https://www.engie.be/fr/energie/electricite-gaz/prix-conditions/parametres-indexation/parametres-indexation-electricite/,1089a45e86c25e47
2026-09-15T04:53:26+00:00,electricite,2024-01,Epex DAM,78.56,https://www.engie.be/fr/energie/electricite-gaz/prix-conditions/parametres-indexation/parametres-indexation-electricite/,1089a45e86c25e47
2026-09-15T04:53:26+00:00,electricite,2023-12,Endex 303,120.79,https://www.engie.be/fr/energie/electricite-gaz/prix-conditions/parametres-indexation/parametres-indexation-electricite/,1089a45e86c25e47
2026-09-15T04:53:26+00:00,electricite,2023-12,Endex 103,113.47,https://www.engie.be/fr/energie/electricite-gaz/prix-conditions/parametres-indexation/parametres-indexation-electricite/,1089a45e86c25e47
2026-09-15T04:53:26+00:00,electricite,2023-12,Endex 101,101.53,https://www.engie.be/fr/energie/electricite-gaz/prix-conditions/parametres-indexation/parametres-indexation-electricite/,1089a45e86c25e47
2026-09-15T04:53:26+00:00,electricite,2023-12,Epex DAM,69.40,https://www.engie.be/fr/energie/electricite-gaz/prix-conditions/parametres-indexation/parametres-indexation-electricite/,1089a45e86c25e47
2026-09-15T04:53:26+00:00,electricite,2023-11,Endex 303,120.79,https://www.engie.be/fr/energie/electricite-gaz/prix-conditions/parametres-indexation/parametres-indexation-electricite/,1089a45e86c25e47
2026-09-15T04:53:26+00:00,electricite,2023-11,Endex 103,113.47,https://www.engie.be/fr/energie/electricite-gaz/prix-conditions/parametres-indexation/parametres-indexation-electricite/,1089a45e86c25e47
2026-09-15T04:53:26+00:00,electricite,2023-11,Endex 101,112.80,https://www.engie.be/fr/energie/electricite-gaz/prix-conditions/parametres-indexation/parametres-indexation-electricite/,1089a45e86c25e47
2026-09-15T04:53:26+00:00,electricite,2023-11,Epex DAM,91.47,https://www.engie.be/fr/energie/electricite-gaz/prix-conditions/parametres-indexation/parametres-indexation-electricite/,1089a45e86c25e47
2026-09-15T04:53:26+00:00,electricite,2023-10,Endex 303,120.79,https://www.engie.be/fr/energie/electricite-gaz/prix-conditions/parametres-indexation/parametres-indexation-electricite/,1089a45e86c25e47
2026-09-15T04:53:26+00:00,electricite,2023-10,Endex 103,113.47,https://www.engie.be/fr/energie/electricite-gaz/prix-conditions/parametres-indexation/parametres-indexation-electricite/,1089a45e86c25e47
